DATE,		OPERATION,		ACCOUNT,		AMOUNT,		BALANCE
13/4/2019,		TRANSFER,		CURRENT,		+10.000000,		10.000000
13/4/2019,		TRANSFER,		CURRENT,		+10.000000,		20.000000
13/4/2019,		TRANSFER,		JOINT,		+10.000000,		10.000000
13/4/2019,		TRANSFER,		JOINT,		+5.000000,		15.000000
13/4/2019,		TRANSFER,		JOINT,		+2.000000,		17.000000
13/4/2019,		TRANSFER,		JOINT,		+1.000000,		18.000000
13/4/2019,		TRANSFER,		JOINT,		+1.000000,		19.000000
13/4/2019,		TRANSFER,		JOINT,		+1.000000,		20.000000
13/4/2019,		TRANSFER,		JOINT,		+1.000000,		21.000000
13/4/2019,		DEPOSIT,		CURRENT,		+30.000000,		50.000000
13/4/2019,		DEPOSIT,		JOINT,		+790.000000,		811.000000
